title,year,location,project_id,publication_date
Light House / Puras Architecture,2018,"Vestervig, Denmark",956669,2022-11-09T15:00:00.000Z
Miniclip Office Building  / Openbook,2022,"Porto Salvo, Portugal",991453,2022-11-09T14:00:00.000Z
Lafond Desjardins Dental Laboratory / ACDF Architecture,2022,"Laval, Canada",991905,2022-11-09T12:00:00.000Z
Novopan Offices  / Diez + Muller Arquitectos,2022,"Quito, Ecuador",991665,2022-11-09T10:00:00.000Z
FlockHill Homestead / Warren & Mahoney,2022,New Zealand,991868,2022-11-09T07:00:00.000Z
Gaîté Montparnasse / MVRDV,2022,"Paris, France",991903,2022-11-09T06:00:00.000Z
"Architectural Classics: Mariano Moreno National Library / Clorindo Testa, Bullrich and Cazzaniga",1962,0,991707,2022-11-09T05:00:00.000Z
A House With A Hat	 / FELT,2022,"Ghent, Belgium",991831,2022-11-09T03:00:00.000Z
Jones Beach Energy & Nature Center / nArchitects,2020,"Wantagh, United States",991911,2022-11-09T02:00:00.000Z
Collective Housing Les Mouleurs / Martens Willems & Humblé Architecten,2021,"Maastricht, The Netherlands",991901,2022-11-09T01:00:00.000Z
For the Joy of Play Exhibition / AMO,2022,"Paris, France",991916,2022-11-09T00:00:00.000Z
Yongchun Qiaoxinhong Red Vinegar Sightseeing Factory / LEL DESIGN STUDIO,2022,"Quanzhou, China",991809,2022-11-08T22:00:00.000Z
Victorian Academy of Teaching and Leadership / DesignInc,2022,"East Melbourne, Australia",991866,2022-11-08T20:00:00.000Z
bonbori Restaurant / Yasuhisa Makino Architect & Associates,2022,"Ota City, Japan",991865,2022-11-08T18:00:00.000Z
El Pangue House  / Felipe Combeau + Andrea Murtagh,2021,"Zapallar, Chile",991608,2022-11-08T16:00:00.000Z
River Point / Pickard Chilton,2017,"Chicago, United States",991812,2022-11-08T14:00:00.000Z
River Point / Pickard Chilton,2017,"Chicago, United States",991812,2022-11-08T14:00:00.000Z
Wedge House / Urban Soul Project,2022,"Pylos, Greece",991828,2022-11-08T12:00:00.000Z
Huexotla Day House and Auditorium / ColectivoMX,2021,"Texcoco, Mexico",991818,2022-11-08T10:00:00.000Z
Hillside House / Cote Architects,2021,"Hue, Vietnam",991804,2022-11-08T07:00:00.000Z
HS77 Stuttgart Apartments / VON M,2022,"Stuttgart, Germany",991817,2022-11-08T06:00:00.000Z
Walled City  / Studio Malka Architecture,2022,Israel,991810,2022-11-08T03:00:00.000Z
Bovenbouwwerkplaats Transformation / Studioninedots,2022,"Utrecht, The Netherlands",991822,2022-11-08T02:00:00.000Z
Umani Hotel / STARH,2022,Bulgaria,991829,2022-11-08T01:00:00.000Z
Qionglai Bamboo Pavilion / UNO Architects,2022,"Chengdu, China",991747,2022-11-08T00:00:00.000Z
Suzhou Bache Community Center / Dedang Design,2022,"Suzhou, China",991749,2022-11-07T22:00:00.000Z
Turramurra Threads House / Benn & Penna Architecture,2022,"Turramurra, Australia",991808,2022-11-07T20:00:00.000Z
K/door House / Yutarou Ohta,2022,Japan,991803,2022-11-07T18:00:00.000Z
2x3 Triplex in URCA / Choza. Espacio de Arquitectura,2022,"Córdoba, Argentina",991582,2022-11-07T16:00:00.000Z
Wirkbau Chemnitz Roof Garden / Meyer-Grohbrügge,2022,"Chemnitz, Germany",991473,2022-11-07T14:00:00.000Z
